                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.4317,                 1.3301,                 1.4965,                0.75018,                0.59058,                0.65495,                 0.3597,                 1.5442,                 1.2697,                 1.6205,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4373,                 1.3626,                 1.4971,                0.75833,                0.64804,                0.69616,                0.35069,                  1.622,                 1.2787,                 1.6392,               0.001208,               0.001208,               0.001208
                     22,                  1.395,                 1.2976,                 1.4658,                0.79645,                0.65212,                0.71382,                0.39072,                 1.5893,                 1.1745,                 1.6005,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.3526,                 1.2079,                 1.4345,                0.80745,                 0.6413,                 0.7286,                0.39414,                 1.5624,                 1.1194,                 1.6219,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4047,                 1.2516,                 1.4636,                0.75003,                0.65217,                0.71184,                0.38502,                 1.6305,                 1.1576,                 1.6615,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3455,                 1.2206,                 1.4353,                0.77536,                0.68116,                0.72621,                0.39984,                 1.5628,                 1.0786,                 1.6109,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3209,                 1.1763,                 1.4015,                0.77214,                0.66304,                0.71915,                0.38801,                 1.6245,                  1.058,                  1.645,                0.00101,                0.00101,                0.00101
                     27,                 1.3031,                 1.1845,                  1.412,                0.75198,                0.70652,                0.74072,                0.41551,                 1.4885,                 1.0306,                 1.5593,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2805,                 1.1257,                 1.3971,                0.77387,                0.69565,                 0.7153,                0.39641,                 1.5602,                 1.0969,                 1.6274,              0.0009308,              0.0009308,              0.0009308
                     29,                   1.29,                 1.1313,                 1.3841,                0.81054,                0.69752,                0.74556,                 0.4122,                 1.4854,                   1.01,                 1.5977,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.2512,                 1.1084,                 1.3697,                0.80908,                0.66304,                0.74019,                0.39825,                 1.5037,                 1.0164,                 1.6233,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.2219,                 1.0665,                 1.3363,                0.75786,                0.73551,                0.72999,                0.40144,                 1.5083,                 1.0101,                 1.5716,               0.000812,               0.000812,               0.000812
                     32,                 1.2098,                 1.0111,                 1.3253,                0.81478,                0.73317,                0.74969,                 0.4253,                 1.4787,                0.93104,                 1.5713,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1977,                 1.0417,                 1.3298,                0.75526,                0.72675,                0.73012,                0.40757,                 1.4895,                0.94876,                 1.6009,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1662,                0.96874,                  1.307,                0.83261,                0.77899,                0.78912,                0.44855,                 1.4631,                0.87892,                 1.6092,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1901,                 1.0037,                 1.3281,                0.83868,                0.73188,                0.76425,                0.43788,                 1.4704,                0.87533,                 1.5662,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1457,                0.97493,                 1.2994,                0.81882,                0.74638,                 0.7696,                0.43371,                 1.5001,                0.90952,                 1.6064,               0.000614,               0.000614,               0.000614
                     37,                 1.1389,                0.94614,                 1.2875,                0.78754,                0.74275,                0.76867,                0.43651,                 1.5012,                0.91616,                  1.554,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1094,                0.92371,                 1.2667,                0.84167,                0.72464,                 0.7783,                0.44288,                 1.4781,                0.87538,                 1.5778,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0694,                0.87729,                 1.2441,                 0.8377,                0.74804,                 0.7675,                0.44876,                 1.4666,                 0.8538,                 1.5697,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0658,                0.88225,                 1.2362,                0.83636,                0.69928,                0.74174,                 0.4445,                 1.4834,                0.85791,                 1.5799,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0364,                0.77306,                 1.2366,                0.84073,                0.76502,                0.78583,                0.45785,                 1.4191,                0.86666,                 1.5376,               0.000416,               0.000416,               0.000416
                     42,                 0.9887,                0.71097,                 1.1989,                0.85747,                0.75725,                0.78765,                0.46391,                 1.4388,                0.85065,                 1.5441,              0.0003764,              0.0003764,              0.0003764
                     43,                0.97842,                0.70654,                 1.1972,                 0.8422,                0.73484,                0.77587,                0.45072,                 1.4552,                0.84821,                 1.5554,              0.0003368,              0.0003368,              0.0003368
                     44,                0.95314,                0.67516,                 1.1866,                0.85709,                0.76087,                0.79022,                0.46447,                 1.4262,                0.83093,                 1.5486,              0.0002972,              0.0002972,              0.0002972
                     45,                0.92891,                0.65345,                 1.1721,                 0.8559,                0.73167,                0.77686,                0.46115,                 1.4366,                0.81352,                 1.5747,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.9125,                0.63354,                 1.1614,                0.84516,                0.75152,                0.78528,                 0.4638,                 1.4268,                0.79874,                 1.5556,               0.000218,               0.000218,               0.000218
                     47,                0.88713,                0.61257,                  1.143,                0.86121,                0.76449,                0.79036,                0.46812,                 1.4261,                0.78861,                 1.5564,              0.0001784,              0.0001784,              0.0001784
                     48,                0.88424,                0.60828,                 1.1418,                0.86707,                0.76087,                0.80675,                0.47548,                 1.4166,                0.76859,                 1.5498,              0.0001388,              0.0001388,              0.0001388
                     49,                0.85992,                0.58692,                 1.1139,                0.86146,                0.77174,                0.80307,                0.47656,                 1.3772,                0.77616,                 1.5303,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.83517,                0.56953,                 1.1044,                0.87506,                0.77174,                0.79948,                0.47481,                 1.3811,                0.76658,                 1.5382,               5.96e-05,               5.96e-05,               5.96e-05
